observed_path,request_count,total_value,average_cycle_hours,departments,categories,share_pct
Submitted → Manager → Returned → Resubmitted → Finance → Rejected,1,10814.6,36.24,1,1,0.011764705882352941
Submitted → Manager → Director → Procurement → Exception → Finance → Rejected,1,28011.14,95.27,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Security → Procurement → Finance → PO Created → Payment,1,16541.66,97.86,1,1,0.011764705882352941
Submitted → Manager → Director → Procurement → Exception → PO Created → Payment,1,26911.34,72.82,1,1,0.011764705882352941
Submitted → Manager → Vendor Validation → Legal → Finance → Payment → PO Created,1,13438.74,159.47,1,1,0.011764705882352941
Submitted → Manager → Director → Security → Legal → Finance → PO Created → Payment,1,62270.44,62.26,1,1,0.011764705882352941
Submitted → Manager → Security → Procurement → Rejected,1,1715.24,53.38,1,1,0.011764705882352941
Submitted → Manager → Director → Security → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,29871.36,123.99,1,1,0.011764705882352941
Submitted → Manager → Security → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,22296.68,106.89,1,1,0.011764705882352941
Submitted → Manager → Security → Legal → Finance → Rejected,1,18031.78,106.8,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Legal → Exception → Finance → PO Created → Payment,1,51945.51,125.34,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Legal → Procurement → Bid Confirmed → Finance → Rejected,1,70563.52,79.41,1,1,0.011764705882352941
Submitted → Manager → Security → Bid Confirmed → Rejected,1,20457.14,39.27,1,1,0.011764705882352941
Submitted → Manager → Security → Bid Confirmed → PO Created → Payment,1,24852.75,76.92,1,1,0.011764705882352941
Submitted → Manager → Security → Bid Confirmed → Finance → Payment → PO Created,1,20391.21,109.28,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Security → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,24445.93,102.78,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Legal → PO Created → Payment,1,1954.22,64.16,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Security → Legal → Procurement → Finance → PO Created → Payment,1,16728.42,198.01,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Security → Finance → PO Created → Payment,1,18509.64,68.58,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Security → Bid Confirmed → PO Created → Payment,1,20046.92,116.91,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Procurement → Bid Confirmed → Finance → Rejected,1,43500.71,83.1,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Legal → Procurement → Finance → PO Created → Payment,1,19257.79,117.08,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Legal → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,77753.03,140.17,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Finance → Rejected,1,16638.1,118.55,1,1,0.011764705882352941
Submitted → Director → Bid Confirmed → Finance → PO Created → Payment,1,28294.78,128.48,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Procurement → Exception → Finance → Rejected,1,38544.89,69.84,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Procurement → Finance → PO Created → Payment,1,25118.99,94.69,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Procurement → Bid Confirmed → PO Created → Payment,1,24863.36,153.47,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Procurement → Bid Confirmed → Finance → Rejected,1,23199.49,105.98,1,1,0.011764705882352941
Submitted → Manager → Security → Legal → Finance → PO Created → Payment,1,16429.58,74.01,1,1,0.011764705882352941
