violation_id,request_id,rule_id,rule_name,required_step,severity,violation_type,evidence,amount_at_risk
VIO-000321,PR-11491,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3584.84
VIO-000322,PR-13428,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6054.49
VIO-000323,PR-13500,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1782.47
VIO-000324,PR-15902,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,31929.71
VIO-000325,PR-11022,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,8432.01
VIO-000326,PR-16301,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,5340.64
VIO-000327,PR-11829,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,2285.95
VIO-000328,PR-15917,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,14197.09
VIO-000329,PR-15917,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,14197.09
VIO-000330,PR-15917,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,14197.09
VIO-000331,PR-15917,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,14197.09
VIO-000332,PR-15917,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,14197.09
VIO-000333,PR-12142,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,4352.87
VIO-000334,PR-11029,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,73859.31
VIO-000335,PR-15277,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,1403.36
VIO-000336,PR-17822,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,2103.8
VIO-000337,PR-17532,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0921 approved $6,020 with a $0 limit",6020.11
VIO-000338,PR-17532,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,6020.11
VIO-000339,PR-15993,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,10373.68
VIO-000340,PR-17114,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,23351.26
VIO-000341,PR-13470,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,13007.74
VIO-000342,PR-10315,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1169.12
VIO-000343,PR-16638,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2354.59
VIO-000344,PR-16638,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,2354.59
VIO-000345,PR-16125,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6621.03
VIO-000346,PR-16125,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6621.03
VIO-000347,PR-12859,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0697 approved $2,328 with a $0 limit",2328.24
VIO-000348,PR-12859,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,2328.24
VIO-000349,PR-16325,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1823.89
VIO-000350,PR-16325,RULE-012,PO before payment,PO_BEFORE_PAYMENT,Critical,Incorrect sequence,Payment was authorized before a purchase order was created,1823.89
VIO-000351,PR-17106,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0588 approved $23,538 with a $0 limit",23537.99
VIO-000352,PR-17106,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,23537.99
VIO-000353,PR-17106,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,23537.99
VIO-000354,PR-11401,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,2835.59
VIO-000355,PR-17321,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,2839.62
VIO-000356,PR-17321,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,2839.62
VIO-000357,PR-16589,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,7007.79
VIO-000358,PR-15036,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,821.35
VIO-000359,PR-12032,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,33438.04
VIO-000360,PR-12032,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,33438.04
VIO-000361,PR-13889,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,28230.37
VIO-000362,PR-14133,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,16165.28
VIO-000363,PR-13291,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6582.13
VIO-000364,PR-13291,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,6582.13
VIO-000365,PR-13541,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,1771.05
VIO-000366,PR-17672,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3793.53
VIO-000367,PR-12953,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1281.28
VIO-000368,PR-12953,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1281.28
VIO-000369,PR-17414,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,943.93
VIO-000370,PR-12329,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6460.53
VIO-000371,PR-10714,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,18642.29
VIO-000372,PR-17498,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,5928.27
VIO-000373,PR-10599,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1191.32
VIO-000374,PR-12131,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6716.44
VIO-000375,PR-12131,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6716.44
VIO-000376,PR-15598,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6823.27
VIO-000377,PR-15598,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,6823.27
VIO-000378,PR-15090,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,53381.18
VIO-000379,PR-14437,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,8828.42
VIO-000380,PR-16476,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,14802.15
VIO-000381,PR-16173,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,13089.15
VIO-000382,PR-15492,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0551 approved $5,187 with a $0 limit",5186.65
VIO-000383,PR-15492,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,5186.65
VIO-000384,PR-12655,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,2442.44
VIO-000385,PR-12701,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,7611.04
VIO-000386,PR-12878,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,5520.91
VIO-000387,PR-12861,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,51382.92
VIO-000388,PR-12861,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,51382.92
VIO-000389,PR-12861,RULE-005,High-value contract review,Legal Review,Critical,Missing required step,Legal Review was required but not observed,51382.92
VIO-000390,PR-17845,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3652.87
VIO-000391,PR-10028,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,8853.61
VIO-000392,PR-13189,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2215.78
VIO-000393,PR-14457,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6024.14
VIO-000394,PR-12810,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2607.68
VIO-000395,PR-13000,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3684.04
VIO-000396,PR-10150,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0903 approved $5,525 with a $0 limit",5524.95
VIO-000397,PR-10150,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,5524.95
VIO-000398,PR-17123,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,51323.2
VIO-000399,PR-17123,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,51323.2
VIO-000400,PR-11097,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,19594.7
VIO-000401,PR-12119,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,7453.43
VIO-000402,PR-12119,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,7453.43
VIO-000403,PR-12119,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,7453.43
VIO-000404,PR-12119,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,7453.43
VIO-000405,PR-18405,RULE-013,International vendor legal review,Legal Review,High,Missing required step,Legal Review was required but not observed,16944.74
VIO-000406,PR-11198,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3022.58
VIO-000407,PR-16207,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,2647.22
VIO-000408,PR-18355,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3443.58
VIO-000409,PR-18355,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3443.58
VIO-000410,PR-17972,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-1256 approved $1,307 with a $0 limit",1306.75
VIO-000411,PR-17972,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,1306.75
VIO-000412,PR-12927,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2136.94
VIO-000413,PR-17827,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,16157.51
VIO-000414,PR-17827,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0974 approved $16,158 with a $0 limit",16157.51
VIO-000415,PR-17827,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,16157.51
VIO-000416,PR-16307,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,5229.8
VIO-000417,PR-16307,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,5229.8
VIO-000418,PR-16307,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,5229.8
VIO-000419,PR-11955,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3125.22
VIO-000420,PR-10134,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3050.05
VIO-000421,PR-10134,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3050.05
VIO-000422,PR-16516,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,589.7
VIO-000423,PR-14369,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1120.92
VIO-000424,PR-14369,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1120.92
VIO-000425,PR-11693,RULE-012,PO before payment,PO_BEFORE_PAYMENT,Critical,Incorrect sequence,Payment was authorized before a purchase order was created,16214.46
VIO-000426,PR-11693,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,16214.46
VIO-000427,PR-13712,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0415 approved $22,448 with a $0 limit",22448.09
VIO-000428,PR-13712,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,22448.09
VIO-000429,PR-17222,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,72414.78
VIO-000430,PR-12777,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0643 approved $2,775 with a $0 limit",2774.68
VIO-000431,PR-12777,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,2774.68
VIO-000432,PR-12715,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,1060.64
VIO-000433,PR-13452,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,9057.78
VIO-000434,PR-16278,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,12818.96
VIO-000435,PR-11243,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1471.33
VIO-000436,PR-11243,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1471.33
VIO-000437,PR-12247,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6349.53
VIO-000438,PR-13420,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,8672.78
VIO-000439,PR-14512,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0873 approved $9,650 with a $0 limit",9650.11
VIO-000440,PR-14512,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,9650.11
VIO-000441,PR-12801,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2891.12
VIO-000442,PR-10156,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,44407.11
VIO-000443,PR-10156,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,44407.11
VIO-000444,PR-16832,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,13285.26
VIO-000445,PR-12757,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,5439.57
VIO-000446,PR-18156,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,16489.66
VIO-000447,PR-11996,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3137.9
VIO-000448,PR-18253,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,7230.84
VIO-000449,PR-17005,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,6431.62
VIO-000450,PR-16424,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,7503.35
VIO-000451,PR-11839,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,5352.34
VIO-000452,PR-18228,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,51945.51
VIO-000453,PR-18228,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,51945.51
VIO-000454,PR-14730,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,19547.88
VIO-000455,PR-14730,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,19547.88
VIO-000456,PR-12895,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2298.66
VIO-000457,PR-17461,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0011 approved $35,497 with a $15,000 limit",35497.04
VIO-000458,PR-13009,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,14531.47
VIO-000459,PR-16583,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2949.7
VIO-000460,PR-16583,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,2949.7
VIO-000461,PR-16583,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2949.7
VIO-000462,PR-15463,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,5455.41
VIO-000463,PR-15084,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,7282.74
VIO-000464,PR-15084,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,7282.74
VIO-000465,PR-10322,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0426 approved $1,616 with a $0 limit",1615.54
VIO-000466,PR-10322,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,1615.54
VIO-000467,PR-18427,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1747.42
VIO-000468,PR-16893,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3527.63
VIO-000469,PR-16893,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3527.63
VIO-000470,PR-11792,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1280.2
VIO-000471,PR-11792,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,1280.2
VIO-000472,PR-11792,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1280.2
VIO-000473,PR-16331,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3198.2
VIO-000474,PR-16331,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3198.2
VIO-000475,PR-14889,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,53354.84
VIO-000476,PR-14889,RULE-005,High-value contract review,Legal Review,Critical,Missing required step,Legal Review was required but not observed,53354.84
VIO-000477,PR-14127,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,6185.78
VIO-000478,PR-14127,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6185.78
VIO-000479,PR-10575,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6079.42
VIO-000480,PR-15995,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,8712.78
VIO-000481,PR-15995,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,8712.78
VIO-000482,PR-16995,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,12503.35
VIO-000483,PR-12840,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,9842.2
VIO-000484,PR-12840,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,9842.2
VIO-000485,PR-14092,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,27327.28
VIO-000486,PR-16228,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,13318.09
VIO-000487,PR-10578,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,4701.71
VIO-000488,PR-12631,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,10119.93
VIO-000489,PR-12348,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,32289.34
VIO-000490,PR-14615,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6724.08
VIO-000491,PR-10004,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-1042 approved $7,003 with a $0 limit",7002.64
VIO-000492,PR-10004,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,7002.64
VIO-000493,PR-10642,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,5190.07
VIO-000494,PR-12611,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,5183.39
VIO-000495,PR-14429,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,30263.0
VIO-000496,PR-17249,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,4990.1
VIO-000497,PR-18465,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0569 approved $1,900 with a $0 limit",1899.61
VIO-000498,PR-18465,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,1899.61
VIO-000499,PR-17663,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,2311.85
VIO-000500,PR-17629,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0531 approved $9,933 with a $0 limit",9932.72
VIO-000501,PR-17629,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,9932.72
VIO-000502,PR-14913,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,17165.38
VIO-000503,PR-15158,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0043 approved $1,980 with a $0 limit",1980.13
VIO-000504,PR-15158,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,1980.13
VIO-000505,PR-14264,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1321.79
VIO-000506,PR-17275,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1089.64
VIO-000507,PR-16246,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1005.64
VIO-000508,PR-12482,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,21957.98
VIO-000509,PR-12360,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2641.21
VIO-000510,PR-12638,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,14485.24
VIO-000511,PR-12758,RULE-018,Equipment dual control,DUAL_CONTROL,High,Dual control incomplete,Both Finance and Procurement review were required,33083.17
VIO-000512,PR-17642,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,19076.99
VIO-000513,PR-14159,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,5247.29
VIO-000514,PR-12519,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3080.13
VIO-000515,PR-15192,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1908.16
VIO-000516,PR-13673,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,4475.97
VIO-000517,PR-11591,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1910.26
VIO-000518,PR-18084,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3389.57
VIO-000519,PR-10310,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1114.5
VIO-000520,PR-10310,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1114.5
VIO-000521,PR-12363,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2520.43
VIO-000522,PR-14547,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0475 approved $10,351 with a $0 limit",10350.77
VIO-000523,PR-14547,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,10350.77
VIO-000524,PR-17740,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,56482.33
VIO-000525,PR-17740,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,56482.33
VIO-000526,PR-17740,RULE-003,Director approval,Director Approval,High,Missing required step,Director Approval was required but not observed,56482.33
VIO-000527,PR-17740,RULE-005,High-value contract review,Legal Review,Critical,Missing required step,Legal Review was required but not observed,56482.33
VIO-000528,PR-17740,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,56482.33
VIO-000529,PR-17740,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,56482.33
VIO-000530,PR-12222,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,17259.35
VIO-000531,PR-18489,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,28294.78
VIO-000532,PR-18150,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6389.88
VIO-000533,PR-18150,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6389.88
VIO-000534,PR-18150,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6389.88
VIO-000535,PR-18150,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6389.88
VIO-000536,PR-16521,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6234.3
VIO-000537,PR-16521,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6234.3
VIO-000538,PR-16285,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,8068.11
VIO-000539,PR-10709,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0532 approved $3,512 with a $0 limit",3512.32
VIO-000540,PR-10709,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,3512.32
VIO-000541,PR-17621,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,95366.77
VIO-000542,PR-16876,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6979.41
VIO-000543,PR-16876,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6979.41
VIO-000544,PR-15608,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1308.99
